name,bio,birth_date
"Irvine Welsh","İskoç yazarı",1958-09-27
"Jonathan Franzen","Amerikan yazarı",1959-08-17
"Ken Kesey","Amerikan yazarı",1935-09-17
"Lorrie Moore","Amerikan yazarı",1957-01-13
"Michael Chabon","Amerikan yazarı",1963-05-24
"Nicole Krauss","Amerikan yazarı",1974-08-18
"Ocean Vuong","Vietnamlı-Amerikan yazarı",1988-10-14
"Paul Beatty","Amerikan yazarı",1962-06-09
"Richard Ford","Amerikan yazarı",1944-02-16
"Siri Hustvedt","Amerikan yazarı",1955-02-19
"Tobias Wolff","Amerikan yazarı",1945-06-19
"Ursula Hegi","Alman yazarı",1946-05-23
"Viet Thanh Nguyen","Vietnamlı-Amerikan yazarı",1971-03-13
"Wells Tower","Amerikan yazarı",1973-04-14
"Xiaodong Xu","Çinli yazarı",1965-01-01
"Yaa Gyasi","Ganalı-Amerikan yazarı",1989-01-01
"Zinzi Clemmons","Amerikan yazarı",1986-01-01
"Abdulrazak Gurnah","Tanzanyalı yazarı",1948-12-20
"Ben Lerner","Amerikan yazarı",1979-02-04
"Colson Whitehead","Amerikan yazarı",1969-11-06
"David Mitchell","İngiliz yazarı",1969-01-12
"Emma Donoghue","İrlandalı yazarı",1969-10-24
"Fiona McFarlane","Avustralyalı yazarı",1978-01-01
"Garth Greenwell","Amerikan yazarı",1978-12-25
"Helen Oyeyemi","İngiliz yazarı",1984-12-10
"Imbolo Mbue","Kamerunlu yazarı",1982-01-01
"Jennifer Egan","Amerikan yazarı",1962-09-07
"Karl Ove Knausgård","Norveçli yazarı",1968-12-06
"Lauren Groff","Amerikan yazarı",1978-07-23
"Min Jin Lee","Koreli-Amerikan yazarı",1968-11-11
"Nell Zink","Amerikan yazarı",1964-01-01
"Ottessa Moshfegh","Amerikan yazarı",1981-05-20
"Patti Smith","Amerikan yazarı",1946-12-30
"Rachel Kushner","Amerikan yazarı",1968-01-01
"Sally Rooney","İrlandalı yazarı",1991-02-20
"Tommy Orange","Amerikan yazarı",1982-01-01
"Valeria Luiselli","Meksikalı yazarı",1983-08-16
"Weike Wang","Çinli-Amerikan yazarı",1987-01-01
"Xu Zechen","Çinli yazarı",1978-01-01
"Yannick Murphy","Amerikan yazarı",1962-01-01
"Zadie Smith","İngiliz yazarı",1975-10-25
"Ali Smith","İskoç yazarı",1962-08-24
"Bernardine Evaristo","İngiliz yazarı",1959-05-02
"Chimamanda Ngozi Adichie","Nijeryalı yazarı",1977-09-15
"Donna Tartt","Amerikan yazarı",1963-12-23
"Elena Ferrante","İtalyan yazarı",1943-01-01
"Francine Prose","Amerikan yazarı",1947-04-01
"Galway Kinnell","Amerikan şairi",1927-02-01
"Hilary Mantel","İngiliz yazarı",1952-07-06
"Ismail Kadare","Arnavut yazarı",1936-01-28
"Jess Walter","Amerikan yazarı",1965-07-20
"Kate Atkinson","İngiliz yazarı",1951-12-20
"Lidia Yuknavitch","Amerikan yazarı",1963-06-09
"Marilynne Robinson","Amerikan yazarı",1943-11-26
"Nathan Englander","Amerikan yazarı",1970-01-12
"Ottessa Moshfegh","Amerikan yazarı",1981-05-20
"Paul Kingsnorth","İngiliz yazarı",1972-01-01
"Richard Powers","Amerikan yazarı",1957-06-18
"Sigrid Nunez","Amerikan yazarı",1951-01-01
"Tim O'Brien","Amerikan yazarı",1946-10-01
"Uwem Akpan","Nijeryalı yazarı",1971-01-01
"Victor LaValle","Amerikan yazarı",1972-02-03
"William T. Vollmann","Amerikan yazarı",1959-07-28
"Ximena Vengoechea","Kolombiyalı yazarı",1985-01-01
"Yoko Ogawa","Japon yazarı",1962-03-20
"Zoë Heller","İngiliz yazarı",1965-07-07
"Aamer Hussein","Pakistan yazarı",1955-04-08
"Bernardine Evaristo","İngiliz yazarı",1959-05-02
"Carmen Maria Machado","Amerikan yazarı",1986-12-03
"Delia Owens","Amerikan yazarı",1949-04-04
"Esther Forbes","Amerikan yazarı",1891-06-28
"Fay Weldon","İngiliz yazarı",1931-09-22
"Gish Jen","Amerikan yazarı",1955-08-12
"Hisham Matar","Libyalı yazarı",1970-08-18
"Ira Levin","Amerikan yazarı",1929-08-27
"Jhumpa Lahiri","Amerikan yazarı",1967-07-11
"Kathryn Stockett","Amerikan yazarı",1969-01-01
"Lisa See","Amerikan yazarı",1955-02-18
"Myla Goldberg","Amerikan yazarı",1971-11-01
"Nana Kwame Adjei-Brenyah","Amerikan yazarı",1990-01-01
"Oyinkan Braithwaite","Nijeryalı yazarı",1988-01-01
"Percival Everett","Amerikan yazarı",1956-12-22
"Qiu Miaojin","Tayvan yazarı",1969-05-01
"Rebecca Makkai","Amerikan yazarı",1978-04-20
"Stephanie Meyer","Amerikan yazarı",1973-12-24
"Tananarive Due","Amerikan yazarı",1966-01-05
"Ursula Parrott","Amerikan yazarı",1899-02-26
"Valerie Martin","Amerikan yazarı",1948-03-14
"Wallace Stegner","Amerikan yazarı",1909-02-18
"Xu Xi","Hong Kong yazarı",1954-01-01
"Yamamoto Michiko","Japon yazarı",1936-01-01
"Zakes Mda","Güney Afrikalı yazarı",1948-10-20
"Abigail Thomas","Amerikan yazarı",1941-01-01
"Barbara Kingsolver","Amerikan yazarı",1955-04-08
"Carolyn Chute","Amerikan yazarı",1947-07-02
"Dorothy Allison","Amerikan yazarı",1949-04-11
"Elizabeth Strout","Amerikan yazarı",1956-01-06
"Flannery O'Connor","Amerikan yazarı",1925-03-25
"Gail Godwin","Amerikan yazarı",1937-06-18
"Harper Lee","Amerikan yazarı",1926-04-28
"Isabel Allende","Şilili yazarı",1942-08-02
"Joyce Carol Oates","Amerikan yazarı",1938-06-16
"Kate Chopin","Amerikan yazarı",1850-02-08
"Louise Penny","Kanadalı yazarı",1958-07-01
"Mary Gaitskill","Amerikan yazarı",1954-11-11
"Nadine Gordimer","Güney Afrikalı yazarı",1923-11-20
"Octavia Butler","Amerikan yazarı",1947-06-22
"Patricia Briggs","Amerikan yazarı",1965-02-28
"Ruth Ozeki","Amerikan yazarı",1956-03-12
"Sue Monk Kidd","Amerikan yazarı",1948-08-12
"Tobias Wolff","Amerikan yazarı",1945-06-19
"Ursula K. Le Guin","Amerikan yazarı",1929-10-21
"Vanessa Diffenbaugh","Amerikan yazarı",1978-01-01
"Wally Lamb","Amerikan yazarı",1950-10-17
"Ximena Gallardo","Meksikalı yazarı",1975-01-01
"Yann Martel","Kanadlı yazarı",1963-06-25
"Zora Neale Hurston","Amerikan yazarı",1891-01-07
"Angie Thomas","Amerikan yazarı",1988-09-20
"Brit Bennett","Amerikan yazarı",1990-06-01
"Celeste Ng","Amerikan yazarı",1980-07-30
"Deesha Philyaw","Amerikan yazarı",1971-01-01
"Erin Morgenstern","Amerikan yazarı",1978-07-08
"Fredrik Backman","İsveç yazarı",1981-06-02
"Gail Honeyman","İskoç yazarı",1972-01-01
"Hanya Yanagihara","Amerikan yazarı",1974-09-20
"Ibi Zoboi","Haytili-Amerikan yazarı",1982-01-01
"Jess Walter","Amerikan yazarı",1965-07-20
"Kristin Hannah","Amerikan yazarı",1960-09-25
"Liane Moriarty","Avustralyalı yazarı",1966-11-15
"Matt Haig","İngiliz yazarı",1975-07-03
"Nicola Yoon","Amerikan yazarı",1972-11-19
"Ovo Adagha","Nijeryalı yazarı",1980-01-01
"Paula Hawkins","İngiliz yazarı",1972-08-26
"Quantez Williams","Amerikan yazarı",1985-01-01
"Robin Wall Kimmerer","Amerikan yazarı",1953-01-01
"Silvia Moreno-Garcia","Meksikalı yazarı",1981-03-28
"Taylor Jenkins Reid","Amerikan yazarı",1983-12-20
"Uzma Jalaluddin","Kanadalı yazarı",1979-01-01
"Vera Wong","Singapurlu yazarı",1975-01-01
"William Kent Krueger","Amerikan yazarı",1950-11-16
"Xu Zhiyuan","Çinli yazarı",1976-01-01
"Yanis Varoufakis","Yunan yazarı",1961-03-24
"Zoe Whittall","Kanadalı yazarı",1976-01-01
"Abraham Verghese","Amerikan yazarı",1955-05-30
"Bernardine Dohrn","Amerikan aktivist",1942-01-12
"Catherine Chidgey","Yeni Zelandalı yazarı",1970-01-01
"Danzy Senna","Amerikan yazarı",1970-09-13
"Emily St. John Mandel","Kanadalı yazarı",1979-10-05
"Fiona Barton","İngiliz yazarı",1957-01-01
"Gillian Flynn","Amerikan yazarı",1971-02-24
"Hala Alyan","Filistinli-Amerikan yazarı",1986-05-14
"Ingrid Rojas Contreras","Kolombiyalı yazarı",1986-01-01
"Jess Lourey","Amerikan yazarı",1970-01-01
"Kiran Desai","Hint yazarı",1971-09-03
"Laura Dave","Amerikan yazarı",1977-01-01
"Min Kamp","Norveçli yazarı",1975-01-01
"Nana Kwame Adjei-Brenyah","Amerikan yazarı",1990-01-01
"Ocean Vuong","Vietnamlı-Amerikan yazarı",1988-10-14
"Patty Yumi Cottrell","Amerikan yazarı",1985-01-01
"Quinn Sosik","Amerikan yazarı",1980-01-01
"Raven Leilani","Amerikan yazarı",1990-01-01
"Sarah Moss","İngiliz yazarı",1975-01-01
"Torrey Peters","Amerikan yazarı",1980-01-01
"Uma Krishnaswami","Hint-Amerikan yazarı",1956-01-01
"Vanessa Chan","Malezyalı yazarı",1985-01-01
"Wayétu Moore","Liberyal yazarı",1985-01-01
"Xochitl Gonzalez","Amerikan yazarı",1970-01-01
"Yael van der Wouden","Hollandalı yazarı",1990-01-01
"Zaina Arafat","Filistinli-Amerikan yazarı",1986-01-01
